horizon_folder,model,run_folder,best_pth,parameters,approx_param_size_mb,best_pth_size_mb,config_model
final_best_horizon1,AMy_M_Linear_Regression,AMy_M_Linear_Regression_20260405_083147,final_best_horizon1/AMy_M_Linear_Regression/AMy_M_Linear_Regression_20260405_083147/best.pth,380297,1.4507179260253906,1.452188491821289,AMy_M_Linear_Regression
final_best_horizon1,AMy_lstm,AMy_lstm_20260405_090420,final_best_horizon1/AMy_lstm/AMy_lstm_20260405_090420/best.pth,126169,0.4812965393066406,0.48380088806152344,AMy_lstm
final_best_horizon1,Autoformer,Autoformer_20260405_092732,final_best_horizon1/Autoformer/Autoformer_20260405_092732/best.pth,780633,2.9778785705566406,2.994539260864258,Autoformer
final_best_horizon1,DLinear,DLinear_20260405_081200,final_best_horizon1/DLinear/DLinear_20260405_081200/best.pth,98,0.00037384033203125,0.00254058837890625,DLinear
final_best_horizon1,Nonstationary_Transformer,Nonstationary_Transformer_20260405_090720,final_best_horizon1/Nonstationary_Transformer/Nonstationary_Transformer_20260405_090720/best.pth,849977,3.2424049377441406,3.266084671020508,Nonstationary_Transformer
final_best_horizon1,PatchTST,PatchTST_20260405_085609,final_best_horizon1/PatchTST/PatchTST_20260405_085609/best.pth,355138,1.3547477722167969,1.3636798858642578,PatchTST
final_best_horizon1,TimeMixer,TimeMixer_20260405_082305,final_best_horizon1/TimeMixer/TimeMixer_20260405_082305/best.pth,385257,1.4696388244628906,1.4837970733642578,TimeMixer
final_best_horizon1,TimeXer,TimeXer_20260405_081233,final_best_horizon1/TimeXer/TimeXer_20260405_081233/best.pth,380481,1.4514198303222656,1.4639606475830078,TimeXer
final_best_horizon1,TimesNet,TimesNet_20260405_083328,final_best_horizon1/TimesNet/TimesNet_20260405_083328/best.pth,919738,3.5085220336914062,3.515901565551758,TimesNet
final_best_horizon1,iTransformer,iTransformer_20260405_092029,final_best_horizon1/iTransformer/iTransformer_20260405_092029/best.pth,36801,0.14038467407226562,0.1482257843017578,iTransformer
final_best_horizon12,AMy_M_Linear_Regression,AMy_M_Linear_Regression_20260403_070922,final_best_horizon12/AMy_M_Linear_Regression/AMy_M_Linear_Regression_20260403_070922/best.pth,4563564,17.408615112304688,17.41007423400879,AMy_M_Linear_Regression
final_best_horizon12,AMy_lstm,AMy_lstm_20260403_072553,final_best_horizon12/AMy_lstm/AMy_lstm_20260403_072553/best.pth,252460,0.9630584716796875,0.9655513763427734,AMy_lstm
final_best_horizon12,Autoformer,Autoformer_20260403_073325,final_best_horizon12/Autoformer/Autoformer_20260403_073325/best.pth,780633,2.9778785705566406,2.994539260864258,Autoformer
final_best_horizon12,DLinear,DLinear_20260403_065741,final_best_horizon12/DLinear/DLinear_20260403_065741/best.pth,1176,0.004486083984375,0.00656890869140625,DLinear
final_best_horizon12,Nonstationary_Transformer,Nonstationary_Transformer_20260403_072725,final_best_horizon12/Nonstationary_Transformer/Nonstationary_Transformer_20260403_072725/best.pth,849977,3.2424049377441406,3.266084671020508,Nonstationary_Transformer
final_best_horizon12,PatchTST,PatchTST_20260403_072009,final_best_horizon12/PatchTST/PatchTST_20260403_072009/best.pth,359373,1.3709030151367188,1.3797931671142578,PatchTST
final_best_horizon12,TimeMixer,TimeMixer_20260403_070432,final_best_horizon12/TimeMixer/TimeMixer_20260403_070432/best.pth,386885,1.4758491516113281,1.4899005889892578,TimeMixer
final_best_horizon12,TimeXer,TimeXer_20260403_065820,final_best_horizon12/TimeXer/TimeXer_20260403_065820/best.pth,383308,1.4622039794921875,1.4747028350830078,TimeXer
final_best_horizon12,TimesNet,TimesNet_20260403_071044,final_best_horizon12/TimesNet/TimesNet_20260403_071044/best.pth,920277,3.510578155517578,3.517915725708008,TimesNet
final_best_horizon12,iTransformer,iTransformer_20260403_073122,final_best_horizon12/iTransformer/iTransformer_20260403_073122/best.pth,37516,0.1431121826171875,0.1509113311767578,iTransformer
